ga:date,ga:medium,ga:source,ga:adCost
20201012,cpc,adzuna,151.2
20201012,cpc,bing,202.76
20201012,cpc,joblookup,2.76
20201012,cpc,jobtome,31.59
20201012,experiment,facebook,216.83
20201013,cpc,adzuna,149.4
20201013,cpc,bing,239.93
20201013,cpc,joblookup,2.76
20201013,cpc,jobtome,26.46
20201013,experiment,facebook,268.66
20201014,cpc,adzuna,219.6
20201014,cpc,bing,213.6
20201014,cpc,joblookup,0
20201014,cpc,jobtome,14.22
20201014,experiment,facebook,290.14
20201015,cpc,adzuna,303.3
20201015,cpc,bing,224.8
20201015,cpc,joblookup,1.38
20201015,cpc,jobtome,18.18
20201015,experiment,facebook,223.17
20201016,cpc,adzuna,208.8
20201016,cpc,bing,151.29
20201016,cpc,joblookup,4.14
20201016,cpc,jobtome,9.99
20201016,experiment,facebook,171.75
20201017,cpc,adzuna,82.8
20201017,cpc,bing,133.34
20201017,cpc,joblookup,0
20201017,cpc,jobtome,13.5
20201017,experiment,facebook,231.41
20201018,cpc,adzuna,155.7
20201018,cpc,bing,165.99
20201018,cpc,joblookup,0
20201018,cpc,jobtome,12.24
