ga:date,ga:medium,ga:source,ga:adCost
20201019,experiment,facebook,223.26
20201019,cpc,joblookup,2.74
20201019,cpc,bing,227.87
20201019,cpc,adzuna,266.11
20201019,cpc,jobtome,28.48
20201020,experiment,facebook,282.46
20201020,cpc,bing,230.14
20201020,cpc,jobg8,218.51
20201020,cpc,adzuna,1529.02
20201020,cpc,jobtome,825.386
20201021,experiment,facebook,258.49
20201021,cpc,bing,223.37
20201021,cpc,jobg8,917.81
20201021,cpc,adzuna,660.38
20201021,cpc,jobtome,272.607
20201022,experiment,facebook,50.87
20201022,cpc,bing,196.44
20201022,cpc,jobg8,842.1
20201022,cpc,adzuna,64.97
20201022,cpc,jobtome,261.571
20201023,cpc,bing,187.37
20201023,cpc,jobg8,804.3
20201023,cpc,adzuna,9.79
20201023,cpc,jobtome,546.905
20201024,cpc,bing,100.76
20201024,cpc,jobg8,672.63
20201024,cpc,adzuna,296.37
20201024,cpc,jobtome,665.364
20201025,cpc,bing,173.89
20201025,cpc,jobg8,528.99
20201025,cpc,adzuna,299.04
20201025,cpc,jobtome,4280.01
